num;sentence;level;level_code
1;La formation s'achèvera par un contrôle pour savoir si le propriétaire a intégré les connaissances.;B2;3
2;Des sanctions administratives et des ordonnances pénales sont possibles si des nouveaux détenteurs de chiens renoncent à suivre la formation ou à l'achever.;C1;4
3;Le canidé, d'un âge avancé, a été bien malgré lui au coeur de commentaires désobligeants proférés sur le plateau de la chaîne de télévision.;C1;4
4;Tout savoir avant d’adopter un chat.;A2;1
5;Le chat, le nouveau « meilleur ami de l'homme ».;A2;1
6;Il n'a aucune valeur mais il représente beaucoup pour moi.;B2;3
7;Il ne m'adresse plus la parole et je ne lui parle pas non plus.;A2;1
8;Vous pourrez assister ce soir à la première de deux émissions qui ont pour objectif de savoir quel est le chanteur ou la chanteuse préféré(e) des Français.;B1;2
9;A qui appartient le chien qui aboie nuit et jour ?;B1;2
10;Je désire connaître l'heure excate de passage du facteur.;B1;2
11;Pouvez-vous m'indiquer la poste s'il vous plait ?;A2;1
12;J'ai un colis pour votre voisine mais elle n'est pas là.;B1;2
13;Le commerçant travaille dans une grande surface.;A1;0
14;Le logo signifie que le commerçant donne des produits gratuitement à ses clients.;B1;2
15;Tout le monde n'a pas l'argent pour se payer une machine à laver.;B1;2
16;Quand je l'ai vu mon coeur s'est mis à battre très fort.;B1;2
17;J'ai ouvert cette école il y a une dizaine d'années pour aider les animaux.;A2;1
18;En janvier dernier, j'ai voulu laisser un message sur le répondeur de mon frère.;B1;2
19;Elles étaient très amies mais l'une des deux est partie en Suède.;A2;1
20;Les journalistes sont prêts à tout !;A1;0
21;Il a su se défendre et mentir lorsqu'on lui posait des questions embarassantes.;B1;3
22;Me voici, Madame, arrivé dans un séjour qui s'est attiré autrefois l'honneur de votre présence, car il me semble qu'il y a longtemps que Votre Altesse n'y est venue.;C2;5
23;Je vous supplie très humblement de me permettre de cultiver des fleurs dans le parterre d'en haut : la principale raison qui m'oblige à vous demander cette grâce est d'orner un lieu où vous pourrez venir quelque jour.;C2;5
24;"J'accepterai cette grâce; mais je doute fort que j'y demeure plus de deux mois et pour des raisons d'intérêt.";C2;5
25;J’avais juré de laisser là les nonnes : car que toujours on voie en mes écrits, même sujet, et semblables personnes, cela pourrait fatiguer les esprits.;C2;5
26;Un mari ayant une aventure amoureuse au fond de son jardin avec la belle servante de la maison, fut découvert par la voisine qui observait tout de sa fenêtre.;C1;4
27;Les mois de mars et avril passent en accéléré : procès, rendez-vous médicaux, concerts, ballets, devoirs et match de baseball s’enchaînent à une vitesse incroyable, et pendant tout ce temps, le ventre de Chelsea ne cesse de s’étirer.;B2;3
28;Je crois que vous avez appuyé sur l’arrêt d’urgence, me dit-il d’un ton calme, d’une voix grave et chaude.;B2;3
29;Certains partenaires ne demandent pas votre consentement et s'appuient sur leur intérêt commercial légitime pour traiter vos données.;C2;5
30;Un enfant est drôle.;A1;0
